"","age","sex","vote_Liberal","education","has_religion","religion_importance","income_family","employment","born_canada","province"
"6",80,"Male",0,"Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick"
"7",20,"Male",0,"Trade diploma","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Ontario"
"9",56,"Male",0,"Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick"
"15",26,"Female",0,"Less than high school","Yes","Not important at all","Less than $25,000","unemployement","born outside canada","New Brunswick"
"17",41,"Male",1,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Alberta"
"31",40,"Female",0,"Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","employement","born outside canada","British Columbia"
"36",36,"Male",0,"Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia"
"41",33,"Male",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"45",59,"Male",1,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"47",40,"Female",0,"High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec"
"49",60,"Female",1,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"50",28,"Male",0,"College","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Manitoba"
"53",47,"Female",0,"Bachelor degree","Yes","Not very important","$25,000 to $49,999","employement","born outside canada","Alberta"
"54",42,"Male",0,"College","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"57",47,"Female",0,"Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Alberta"
"59",51,"Male",0,"Trade diploma","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario"
"62",70,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Quebec"
"72",47,"Female",1,"Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","British Columbia"
"73",47,"Male",1,"Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born outside canada","British Columbia"
"85",39,"Male",1,"Bachelor degree","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"86",32,"Male",0,"College","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Manitoba"
"87",71,"Female",0,"Bachelor degree","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","Alberta"
