"","q2","q3","q4","q11","q61","q62","q63","q64","q68","q69"
"1",1963,1,5,-9,9,6,1,2,1,104000
"2",1973,1,5,-9,8,6,3,2,1,75000
"3",1994,1,5,1,9,21,NA,2,6,20000
"4",2000,1,5,4,8,21,NA,2,9,120000
"5",1984,1,5,3,10,21,NA,2,1,95000
"6",1939,1,5,4,4,6,3,2,4,38000
"7",1999,1,5,5,6,22,4,2,6,120000
"8",1995,1,5,4,10,21,NA,2,1,35000
"9",1963,1,5,2,4,6,2,2,8,35000
"10",1970,1,5,-9,7,6,2,2,1,180000
"11",1978,1,5,6,11,6,1,2,1,-8
"12",1999,1,5,-9,4,6,3,2,1,-9
"13",1963,1,5,2,6,6,4,2,1,-8
"14",1967,1,5,-9,8,-9,4,2,1,210000
"15",1993,2,5,8,4,6,4,1,7,15000
"16",1990,2,5,7,8,21,NA,2,9,-9
"17",1978,1,5,1,9,6,2,13,3,1e+05
"18",1990,2,5,1,9,21,NA,2,1,0
"19",1990,1,5,-9,10,-8,1,5,1,-9
"20",1991,1,5,-9,9,21,NA,2,1,25000
"21",1967,1,5,9,5,14,1,2,8,-9
"22",1961,1,5,-9,6,21,NA,1,3,30000
"23",1997,1,5,5,4,21,NA,2,1,40000
"24",1998,1,10,1,8,21,NA,2,6,0
"25",1954,2,5,1,5,21,NA,1,11,70000
"26",1996,1,5,3,8,21,NA,2,9,18000
"27",1987,2,5,1,10,-8,2,2,1,-8
"28",1998,2,5,-9,8,21,NA,2,6,15000
"29",1949,1,5,-9,10,21,NA,2,4,-8
"30",1997,2,5,5,8,21,NA,2,6,110000
"31",1979,2,5,3,10,6,4,5,3,120000
"32",1989,2,5,-9,5,6,1,2,1,95000
"33",1971,2,5,4,7,21,NA,13,1,70000
"34",1983,2,5,-9,5,21,NA,1,1,32000
"35",1987,2,5,-9,10,6,4,2,3,160000
"36",1983,1,5,3,10,6,3,2,1,130000
"37",1983,1,5,3,5,21,NA,2,1,115000
"38",1995,2,5,-9,4,6,3,2,6,20000
"39",1980,1,5,6,4,21,NA,2,1,2e+05
"40",1968,1,5,NA,4,21,NA,2,1,-9
"41",1986,1,5,3,9,6,3,2,1,180000
"42",1939,1,5,-9,9,21,NA,2,4,-8
"43",1980,1,5,-9,4,14,2,2,5,-9
"44",1995,2,5,-9,9,6,3,2,6,110000
"45",1960,1,5,1,9,6,3,2,3,4e+05
"46",1946,2,5,-9,11,6,2,10,4,-9
"47",1979,2,5,2,5,6,2,2,1,70000
"48",1981,1,5,-9,10,6,4,2,1,165000
"49",1959,2,5,1,9,1,1,2,1,65000
"50",1991,1,5,5,7,6,4,2,1,45000
"51",1961,1,5,-9,9,6,3,2,1,150000
"52",1985,1,5,3,10,21,NA,2,1,-9
"53",1972,2,5,2,9,6,3,13,3,30000
"54",1977,1,5,2,7,6,4,2,1,1e+05
"55",1974,1,5,-9,8,1,2,2,1,-8
"56",1979,1,5,1,6,21,NA,2,1,-9
"57",1972,2,5,2,9,6,4,2,1,5e+05
"58",1966,2,5,-9,10,21,NA,2,4,-8
"59",1968,1,5,4,6,6,4,2,1,70000
"60",1957,1,5,-9,8,6,4,2,4,1e+05
"61",1966,2,5,-9,5,6,2,2,1,26000
"62",1949,1,5,4,5,6,2,1,2,35000
"63",1971,2,5,5,10,21,NA,1,1,82000
"64",1984,1,5,-9,9,15,3,13,1,-8
"65",1966,2,5,-9,7,21,NA,2,1,1e+05
"66",1996,2,5,3,8,21,NA,2,9,25000
"67",1953,2,5,-8,9,21,NA,2,4,-8
"68",1981,2,5,3,10,21,NA,2,1,130000
"69",1968,1,5,-8,10,6,4,2,3,2e+05
"70",1950,1,5,-9,10,6,2,2,4,55000
"71",1996,2,5,1,8,-9,4,2,6,-9
"72",1972,2,5,1,10,2,1,13,1,2e+05
"73",1972,1,5,1,10,6,1,13,1,52000
"74",1985,2,5,1,7,6,4,2,1,-9
"75",1978,2,5,10,7,21,NA,2,1,38000
"76",1983,1,10,1,8,21,NA,2,1,30000
"77",1987,2,5,-9,10,21,NA,2,1,2e+05
"78",1994,1,5,1,7,21,NA,2,1,0
"79",1976,1,5,1,9,-9,NA,2,1,90000
"80",1969,1,5,6,11,21,NA,1,1,60000
"81",1992,1,5,-9,6,6,4,1,1,40000
"82",1989,2,5,3,10,21,NA,2,1,80000
"83",1993,1,5,3,8,-9,NA,2,6,45000
"84",1983,1,5,-9,3,6,3,2,1,60000
"85",1980,1,5,1,9,6,4,2,1,115000
"86",1987,1,5,3,7,6,4,2,1,45000
"87",1948,2,5,2,9,6,4,2,4,79000
"88",1976,2,5,4,9,21,NA,1,1,74000
"89",1991,1,5,-9,5,6,4,1,1,14000
"90",1964,2,6,-9,9,22,1,13,1,-8
"91",1986,2,5,-8,10,21,NA,2,1,92000
"92",1997,1,5,1,9,21,NA,2,6,13000
"93",1954,1,5,-9,7,6,1,1,4,1e+05
"94",1977,2,5,1,9,6,3,13,1,167000
"95",1957,1,5,-8,6,6,1,13,4,20000
"96",1981,2,5,1,9,2,1,13,3,-9
"97",1974,1,5,-9,9,2,4,13,1,42000
"98",1984,1,5,-9,10,21,NA,2,1,2e+05
"99",1989,2,5,1,9,21,NA,13,1,35000
"100",1967,1,5,1,6,11,2,13,2,32000
"101",1990,1,5,-9,9,21,NA,2,1,60000
"102",1989,1,5,NA,3,6,4,2,1,1e+05
"103",1999,1,5,4,7,21,NA,2,1,30000
"104",1978,1,5,4,5,6,4,2,1,27000
"105",1951,1,5,2,7,21,NA,2,4,-8
"106",1980,2,5,-9,4,15,2,13,1,-8
"107",1979,1,5,-9,7,14,2,2,3,50000
"108",1989,1,5,4,5,6,2,2,1,90000
"109",1960,1,5,-9,10,6,4,2,2,36000
"110",1993,2,5,10,9,21,NA,2,1,75000
"111",1956,2,5,-8,7,6,3,2,2,1e+05
"112",2001,1,5,4,5,21,NA,2,6,-9
"113",1952,1,5,-8,1,6,2,2,4,-8
"114",1999,1,5,-9,5,6,2,2,5,-9
"115",1973,2,5,-9,9,5,1,2,7,125000
"116",1985,1,5,1,9,21,NA,2,1,160000
"117",1955,1,5,-9,7,22,4,2,1,0
"118",1969,1,5,1,9,6,4,2,1,180000
"119",1955,2,6,1,11,21,NA,2,1,4e+05
"120",1951,1,6,-9,8,21,NA,8,1,250000
"121",2001,1,6,2,5,6,2,2,6,185000
"122",1978,1,6,5,8,21,NA,2,1,-8
"123",1978,1,6,-9,4,6,3,11,1,1e+05
"124",1984,2,6,3,10,-9,NA,2,5,29000
"125",1959,2,6,-9,7,21,NA,2,1,0
"126",1952,1,6,2,10,15,1,2,3,-8
"127",1986,1,6,-9,9,21,NA,13,1,110000
"128",1985,1,6,-9,10,21,NA,2,1,185000
"129",2000,1,6,2,5,6,2,2,2,-9
"130",1978,2,6,1,9,21,NA,2,5,47000
"131",1986,2,6,5,10,12,1,3,1,80000
"132",1965,1,6,5,8,21,NA,2,1,220000
"133",1943,2,6,5,10,21,NA,2,4,-8
"134",1986,2,6,-9,6,21,NA,2,1,0
"135",1986,1,6,1,9,2,2,13,1,50000
"136",1973,1,6,2,11,12,1,2,3,260000
"137",1986,1,6,2,7,21,NA,2,1,115000
"138",1976,1,6,-9,8,21,NA,2,1,278000
"139",1958,2,6,1,11,9,4,2,4,-8
"140",1979,2,5,3,9,21,4,2,1,170000
"141",1983,2,6,-8,9,21,NA,13,1,150000
"142",1969,2,6,3,6,6,3,2,2,110000
"143",1986,1,6,2,5,14,1,2,1,-8
"144",1997,1,6,3,6,15,1,2,6,-9
"145",1983,1,6,-9,11,21,NA,2,1,190000
"146",1979,2,6,-9,7,6,2,2,1,-8
"147",2001,1,6,2,5,6,2,3,9,0
"148",1961,2,6,3,7,6,1,2,1,50000
"149",1943,1,6,-9,5,21,NA,2,4,-9
"150",1990,1,6,1,9,21,NA,2,1,-8
"151",1964,2,6,2,8,6,2,2,1,220000
"152",1947,2,6,2,5,-8,4,2,4,30000
"153",1992,1,6,-9,9,21,NA,3,9,-9
"154",1946,1,6,3,9,22,-9,2,2,1e+05
"155",1959,1,6,3,9,20,1,2,3,125000
"156",1991,2,6,3,8,21,NA,2,2,45000
"157",1995,2,6,3,9,22,1,2,1,40000
"158",1979,2,6,2,9,21,NA,2,2,250000
"159",1992,2,6,1,9,3,2,2,5,-9
"160",1961,2,6,-9,7,-8,2,2,1,-8
"161",2001,1,6,6,8,21,NA,2,6,-9
"162",1982,1,6,3,5,6,1,2,5,-9
"163",1944,1,6,1,6,12,2,2,4,35000
"164",1949,1,6,3,11,21,NA,2,11,2e+05
"165",1973,1,6,1,8,-9,4,2,1,310000
"166",1989,1,6,1,7,2,1,13,1,-9
"167",1958,1,6,1,5,6,2,2,1,75000
"168",1973,1,6,1,6,6,3,2,7,70000
"169",1964,1,6,1,9,21,NA,2,1,180000
"170",1964,1,6,9,9,9,1,2,1,-8
"171",1966,2,6,3,4,21,NA,2,1,120000
"172",1992,2,6,1,9,21,NA,2,6,-9
"173",1979,2,6,1,9,2,2,13,2,64000
"174",1981,1,6,-9,7,21,NA,2,1,-8
"175",1953,2,6,1,9,21,NA,2,4,75000
"176",1960,1,6,-9,9,1,3,2,1,-8
"177",1973,2,6,6,9,21,NA,4,3,-8
"178",1976,2,6,-9,9,14,1,2,1,50000
"179",1992,1,6,3,9,21,NA,13,1,0
"180",1951,2,6,5,10,12,4,2,4,75000
"181",1988,2,6,-9,9,21,NA,7,1,-9
"182",1949,1,6,2,4,7,2,2,4,180000
"183",1977,2,6,-9,9,6,2,2,8,140000
"184",1984,1,6,1,10,20,2,2,1,95000
"185",1971,1,6,3,5,21,NA,2,1,90000
"186",1959,1,6,2,5,21,NA,2,4,40000
"187",1976,1,6,2,9,14,3,2,3,150000
"188",1965,1,6,2,7,9,2,2,1,1e+05
"189",1947,1,6,1,7,9,2,13,4,0
"190",1970,1,6,2,9,21,NA,2,1,140000
"191",1989,1,6,1,10,15,2,2,1,150000
"192",1975,1,6,3,7,12,2,2,12,-9
"193",1985,1,6,1,11,2,1,13,1,210000
"194",1976,2,6,3,9,21,NA,2,3,30000
"195",1966,1,6,2,9,6,1,13,1,-8
"196",1988,1,6,-9,9,21,NA,4,1,0
"197",1990,2,6,-9,7,21,NA,2,1,60000
"198",1980,2,6,2,11,4,1,2,1,150000
"199",1956,2,6,1,5,4,1,13,2,0
"200",1995,1,6,NA,11,2,4,13,1,230000
"201",1990,2,6,2,7,4,1,2,10,87000
"202",1952,1,6,1,10,1,3,2,4,-8
"203",1964,1,9,-9,9,6,2,2,1,155000
"204",1948,2,6,1,6,12,2,13,4,-8
"205",1932,2,6,-8,10,6,2,2,4,95000
"206",1972,1,6,2,7,-8,1,2,9,130000
"207",1947,1,6,3,7,6,1,10,4,65000
"208",1961,2,6,-8,9,12,3,2,1,160000
"209",1962,1,6,1,10,6,1,13,3,69000
"210",1964,1,6,1,7,14,1,2,1,90000
"211",1980,1,6,3,9,21,NA,2,1,150000
"212",1961,1,6,-9,7,21,NA,2,1,150000
"213",1965,2,6,3,7,21,NA,2,1,110000
"214",1982,1,6,3,9,21,NA,2,1,70000
"215",1967,1,6,-9,11,10,1,13,2,1e+05
"216",1996,1,6,3,5,21,NA,2,1,-9
"217",1980,1,6,6,7,12,3,2,1,125000
"218",1963,1,6,2,7,6,3,2,1,0
"219",1979,1,6,1,9,11,2,7,1,120000
"220",1985,1,6,3,11,8,3,9,1,120000
"221",1955,1,6,1,5,10,2,13,4,1e+05
"222",1953,2,6,5,9,22,1,2,11,60000
"223",1994,1,6,2,7,14,1,2,1,180000
"224",1951,1,6,NA,9,21,NA,2,4,150000
"225",1976,2,6,1,5,6,4,2,1,150000
"226",1950,2,6,2,5,14,1,2,4,40000
"227",1980,1,5,-9,10,14,2,-8,1,-8
"228",1980,1,6,1,7,21,NA,2,1,130000
"229",1969,2,6,5,8,6,2,2,2,55000
"230",1993,2,6,3,7,14,2,13,1,1e+05
"231",1969,1,6,-9,9,6,2,2,1,-8
"232",1964,1,6,1,7,21,NA,12,11,84000
"233",1989,1,6,2,10,6,4,2,1,175000
"234",1975,2,6,7,10,6,1,4,1,-8
"235",1951,1,6,-9,10,9,2,2,4,-8
"236",1987,1,6,1,9,21,NA,2,5,1e+05
"237",1948,1,6,-9,9,15,1,3,3,-8
"238",1979,1,6,1,6,2,1,13,1,0
"239",1975,1,6,-9,9,6,2,2,1,-9
"240",1979,1,6,-9,7,-9,NA,2,1,-9
"241",1960,2,6,1,10,6,2,2,1,60000
"242",1978,1,6,5,9,21,NA,2,1,76000
"243",1977,1,6,-9,7,21,NA,2,1,1e+05
"244",1997,1,6,3,9,21,NA,2,9,40000
"245",1992,2,10,1,10,21,4,2,3,-9
"246",1973,1,6,1,10,12,3,2,1,75000
"247",1976,1,6,-9,6,21,NA,2,1,-8
"248",1948,2,6,-9,9,1,1,2,4,-9
"249",1970,1,6,1,9,3,2,13,1,75000
"250",1950,1,6,2,9,6,2,2,4,150000
"251",1998,2,6,-9,5,6,1,2,5,-9
"252",1959,1,6,-9,10,5,2,13,3,-8
"253",1999,2,6,-9,5,21,NA,2,6,12000
"254",1969,2,6,1,9,21,NA,13,1,95000
"255",1971,1,6,1,9,-9,NA,2,3,2e+05
"256",1993,2,6,3,9,22,2,2,3,65000
"257",1956,1,6,2,9,14,1,13,1,60000
"258",1984,1,6,1,11,2,3,13,1,320000
"259",1995,2,6,-9,9,6,2,2,6,25000
"260",1980,2,6,3,7,6,1,2,1,2e+05
