"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"1",18,"Male","Less than high school","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"2",19,"Female","High school","No","Not important at all","Less than $25,000","employement","born in Canada","British Columbia",1
"3",20,"Female","College","No","Not important at all","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"4",20,"Female","College","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"5",20,"Female","College","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"6",20,"Female","High school","No","Not very important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"7",20,"Female","High school","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"8",20,"Female","High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"9",20,"Female","High school","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"10",20,"Female","Trade diploma","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"11",20,"Male","College","No","Not very important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"12",20,"Male","College","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"13",20,"Male","High school","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"14",20,"Male","High school","No","Not important at all","$125,000 and more","unemployement","born in Canada","Alberta",1
"15",20,"Male","High school","No","Not very important","Less than $25,000","unemployement","born outside canada","Quebec",1
"16",20,"Male","High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"17",20,"Male","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"18",20,"Male","High school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Quebec",1
"19",20,"Male","Trade diploma","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"20",20,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba",1
"21",21,"Female","College","No","Not important at all","$125,000 and more","unemployement","born outside canada","Quebec",1
"22",21,"Female","College","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"23",21,"Female","College","No","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"24",21,"Female","College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec",1
"25",21,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba",1
"26",21,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born outside canada","British Columbia",1
